id_pattern,category,question,answer,created_at
1,keuangan,"Berapa harga satu SKS?","Harga satu SKS adalah Rp. 150000.","2023-12-43 11:23:34"
2,keuangan,"Cara untuk cek biaya kuliah.","Caranya anda dapat pergi ke BO unklab.","2023-12-43 11:23:34"
3,pendaftaran,"Berkas apa yang harus di bawa pada saat pendaftaran.","Pada saat anda mendaftar, yang harus dibawa adalah Ijazah, KTP, surat babtisan.","2023-12-43 11:23:34"
4,pendaftaran,"Berapa umur yang diterima pada saat mendaftar di Unklab?","Tidak ada perhitungan umur ya.","2023-12-43 11:23:34"
5,filkom,"apa saja jurusan di Fakultas Ilmu Komputer?","Terdapat dua jurusan yaitu Sistem informasi dan Informatika.","2023-12-43 11:23:34"
6,filkom,"Ekstrakulikuler apa yang ada di fakultas ilmu komputer?","Ada yang menarik seperti Google developer club dan group paduan suara.","2023-12-43 11:23:34"
7,filkom,"apa kepanjangan filkom?","Kepanjangan dari filkom adalah Fakultas Ilmu Komputer.","2023-12-43 11:23:34"
8,filkom,"Siapa dekan fakultas ilmu komputer?","Dekan di fakultas ilmu komputer adalah Bpk. Andrew Liem.","2023-12-43 11:23:34"
9,greetings,"Selamat pagi?","Ya, selamat pagi juga.","2023-12-43 11:23:34"
10,greetings,"Selamat siang?","Okey, selamat siang juga.","2023-12-43 11:23:34"
12,greetings,"Apa kabar kamu?","Saya senang dan bahagia selalu.","2023-12-43 11:23:34"
13,greetings,"Selamat malam?","Ya. Selamat malam juga.","2023-12-43 11:23:34"
14,greetings,hay,hello,"2023-05-18 14:35:20"
34,keuangan,"berapa harga uang laboratorium ?","harga uang laboratorium 350.000/mata kuliah","2023-05-19 03:53:25"
35,filkom,"dimana gedung fakultas filkom","GA ","2023-05-19 04:32:07"
36,filkom,"dimana ruang dosen filkom?",GK3,"2023-05-19 04:52:24"
37,filkom,"dimana ruangan dekan filkom?","ada di GA","2023-05-19 06:40:44"
38,asrama,"ada berapa asrama putri?","ada 3","2023-05-19 06:43:06"
39,pendaftaran,"bulan apa tanggal pendaftaran di Unklab?","bulan agustus","2023-05-19 06:49:55"
40,sejarah,"kapan filkom dibuka?","filkom dibuka tahun 1999","2023-05-19 06:58:21"
41,asrama,"dimana letak asrama annex?","asrama annex terletak disebelah kanan GK2","2023-05-19 07:01:00"
42,asrama,"siapa nama kepala asrama crystal?","Pdt Jacob","2023-05-19 07:01:56"
43,filkom,"Siapa kaprodi informatika saat ini?","Sir Green Mandias","2023-05-19 08:13:06"
44,filkom,"Siapa kaprodi SI?","Sir Stenly Pungus","2023-05-19 08:15:34"
45,filkom,"siapa wakil dekan filkom?","Sir Lengkong","2023-05-19 08:32:53"
46,pendaftaran,"kapan wisuda ankatan 88 Unklab?","wisuda diadakan bulan juni","2023-05-19 08:36:29"
47,fasilitas,"Apakah ada fasilitas lapangan bola kaki di Unklab?","yah ada lapangan bola kaki yang luas di Unklab","2023-05-19 08:44:41"
48,pendaftaran,"Dimana letak unklab?","letaknya di airmadidi","2023-05-19 08:47:43"
